         186621 function calls (186545 primitive calls) in 0.258 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.001    0.000    0.001    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/lib/_arraysetops_impl.py:339(_unique1d)
       10    0.000    0.000    0.001    0.000 /home/mlesdani/.local/share/uv/python/cpython-3.13.0-linux-x86_64-gnu/lib/python3.13/inspect.py:3062(from_callable)
       10    0.000    0.000    0.001    0.000 /home/mlesdani/.local/share/uv/python/cpython-3.13.0-linux-x86_64-gnu/lib/python3.13/inspect.py:2473(_signature_from_callable)
      177    0.000    0.000    0.001    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/externals/array_api_compat/numpy/_aliases.py:89(asarray)
        4    0.000    0.000    0.001    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/utils/validation.py:2845(validate_data)
        1    0.000    0.000    0.001    0.001 {method 'std' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.001    0.001 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/_methods.py:221(_std)
        7    0.000    0.000    0.001    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/utils/_param_validation.py:28(validate_parameter_constraints)
        3    0.000    0.000    0.001    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/utils/validation.py:1201(check_X_y)
      279    0.000    0.000    0.001    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/utils/_array_api.py:387(get_namespace)
       47    0.001    0.000    0.001    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/numeric.py:2475(array_equal)
       10    0.000    0.000    0.001    0.000 /home/mlesdani/.local/share/uv/python/cpython-3.13.0-linux-x86_64-gnu/lib/python3.13/inspect.py:2369(_signature_from_function)
      352    0.000    0.000    0.001    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/_config.py:35(get_config)
        4    0.000    0.000    0.001    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/base.py:233(get_params)
       52    0.000    0.000    0.001    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/utils/_array_api.py:736(_asarray_with_order)
        4    0.000    0.000    0.001    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/base.py:202(_get_param_names)
      303    0.000    0.000    0.001    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/scipy/_lib/_sparse.py:10(issparse)
        4    0.001    0.000    0.001    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/_ufunc_config.py:464(inner)
      499    0.000    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
        2    0.000    0.000    0.001    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/arrayprint.py:1685(_array_str_implementation)
       32    0.000    0.000    0.001    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2338(sum)
       42    0.000    0.000    0.001    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/utils/validation.py:381(_num_samples)
        2    0.000    0.000    0.001    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/arrayprint.py:605(array2string)
       47    0.000    0.000    0.001    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:1251(argmax)
        4    0.000    0.000    0.001    0.000 /home/mlesdani/.local/share/uv/python/cpython-3.13.0-linux-x86_64-gnu/lib/python3.13/logging/__init__.py:1509(info)
       39    0.000    0.000    0.001    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:69(_wrapreduction)
        4    0.000    0.000    0.001    0.000 /home/mlesdani/.local/share/uv/python/cpython-3.13.0-linux-x86_64-gnu/lib/python3.13/logging/__init__.py:1640(_log)
        2    0.000    0.000    0.001    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/arrayprint.py:550(wrapper)
       60    0.000    0.000    0.001    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/numerictypes.py:381(isdtype)
        2    0.000    0.000    0.001    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/arrayprint.py:567(_array2string)
        9    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/src/kmeans.py:25(find_furthest_centroid)
       57    0.000    0.000    0.000    0.000 {method 'sum' of 'numpy.ndarray' objects}
      499    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        6    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/utils/validation.py:1415(column_or_1d)
       54    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/utils/_param_validation.py:104(make_constraint)
       12    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/utils/_array_api.py:473(get_namespace_and_device)
      974    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       57    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/_methods.py:50(_sum)
