         186621 function calls (186545 primitive calls) in 0.258 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       11    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       10    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
        4    0.000    0.000    0.000    0.000 /home/mlesdani/.local/share/uv/python/cpython-3.13.0-linux-x86_64-gnu/lib/python3.13/threading.py:1094(name)
        3    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x7f8fc22d2ed0}
        9    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/lib/_function_base_impl.py:410(_average_dispatcher)
        8    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        6    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
       16    0.000    0.000    0.000    0.000 /home/mlesdani/.local/share/uv/python/cpython-3.13.0-linux-x86_64-gnu/lib/python3.13/inspect.py:3070(parameters)
        8    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        3    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 {method 'take' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.000    0.000 /home/mlesdani/.local/share/uv/python/cpython-3.13.0-linux-x86_64-gnu/lib/python3.13/logging/__init__.py:1764(isEnabledFor)
        1    0.000    0.000    0.000    0.000 {method 'argmin' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.000    0.000 /home/mlesdani/.local/share/uv/python/cpython-3.13.0-linux-x86_64-gnu/lib/python3.13/multiprocessing/process.py:37(current_process)
       12    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/multiarray.py:1098(copyto)
        4    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/utils/_param_validation.py:300(is_satisfied_by)
        1    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/ma/core.py:6732(isMaskedArray)
       12    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/multiarray.py:180(concatenate)
        4    0.000    0.000    0.000    0.000 /home/mlesdani/.local/share/uv/python/cpython-3.13.0-linux-x86_64-gnu/lib/python3.13/logging/__init__.py:391(getMessage)
        4    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/utils/_param_validation.py:550(is_satisfied_by)
        3    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        9    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/lib/_arraysetops_impl.py:140(_unique_dispatcher)
        7    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/utils/_array_api.py:127(_check_array_api_dispatch)
        9    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:206(_reshape_dispatcher)
        4    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/utils/parallel.py:150(_get_threadpool_controller)
        8    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/multiarray.py:1410(may_share_memory)
        3    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/metrics/cluster/_unsupervised.py:23(check_number_of_labels)
        8    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:3730(_mean_dispatcher)
        6    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/numeric.py:2239(_allclose_dispatcher)
        4    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/utils/_tags.py:133(<lambda>)
        6    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2584(_all_dispatcher)
        3    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        4    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/cluster/_kmeans.py:849(__init__)
        4    0.000    0.000    0.000    0.000 <string>:2(__init__)
        6    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/numeric.py:2333(_isclose_dispatcher)
        2    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        5    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:3047(_max_dispatcher)
        4    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/arrayprint.py:471(indirect)
        4    0.000    0.000    0.000    0.000 {built-in method _operator.gt}
        3    0.000    0.000    0.000    0.000 /home/mlesdani/.local/share/uv/python/cpython-3.13.0-linux-x86_64-gnu/lib/python3.13/inspect.py:2869(__init__)
        4    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/threadpoolctl.py:589(__enter__)
        4    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:4068(_var_dispatcher)
        4    0.000    0.000    0.000    0.000 /home/mlesdani/.local/share/uv/python/cpython-3.13.0-linux-x86_64-gnu/lib/python3.13/multiprocessing/process.py:189(name)
        4    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/numeric.py:58(_zeros_like_dispatcher)
        3    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2875(_cumsum_dispatcher)
        4    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/multiarray.py:107(empty_like)
        1    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2014(_nonzero_dispatcher)
        2    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:3185(_min_dispatcher)
        1    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:1345(_argmin_dispatcher)
        1    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:1126(_argsort_dispatcher)
        1    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/lib/_function_base_impl.py:3911(_median_dispatcher)
        1    0.000    0.000    0.000    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:754(_partition_dispatcher)


